Name	YT Scope Project	
File	C:\Users\Administrator\Documents\TcXaeShell\TwinCAT_260713\ScopeLog\2026-08-20_Scope_1000mms_B.csv	
Starttime of export	134316834603040000	Thursday, August 20, 2026	16:11:00.304
Endtime of export	134316835704040000	Thursday, August 20, 2026	16:12:50.404


Name	a	Name	b
SymbolComment	A coordinate.	SymbolComment	B coordinate.
Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True
IndexGroup	61462	IndexGroup	61462
IndexOffset	0	IndexOffset	0
SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.a	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.b
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

0	-0,026547275685539568	0	1,0969758735201738
10	-0,0038478225046596308	10	1,1012780042272508
20	-0,012459174665997783	20	1,1042467988128815
30	-0,00050608401673855918	30	1,1183508252370598
40	-0,0057427098486470384	40	1,1235245137569589
50	-0,011277817395015101	50	1,1082821721928553
60	-0,019270960001444657	60	1,1084279469753307
70	-0,02554414205253722	70	1,1199650914489518
80	-0,010751624445966857	80	1,1144839371097404
90	-0,013590971641909744	90	1,1084822706207862
100	-0,021372362829782974	100	1,1195320257580326
110	-0,017935939659749975	110	1,1114743060149535
120	-0,032506017490364733	120	1,1146054753986656
130	-0,00679129075059989	130	1,0976234512296981
140	-0,009095410854791262	140	1,092908489409028
150	-0,005831931226130088	150	1,1166639686332713
160	-0,011343732805379677	160	1,1017476420871994
170	-0,0083093238093019054	170	1,1226940245947539
180	-0,003949551529270439	180	1,1143337520373724
190	-0,00085032208811543382	190	1,1227838668386005
200	-0,02167651658218123	200	1,0924344668216788
210	-0,014293998818109424	210	1,1057963853502928
220	-0,034378494021197643	220	1,1150434219248508
230	-0,0043663548774927029	230	1,0992993416201715
240	-0,023228794193732142	240	1,1087646452639846
250	0,0016060331170243806	250	1,1041568278636171
260	-0,010019934219526024	260	1,1090829777144464
270	-0,023684602571143229	270	1,1062480865976967
280	-0,020253439062240898	280	1,129819434403929
290	-0,011826242672425179	290	1,1004479989128706
300	-0,0064291035557025753	300	1,1044382021341888
310	-0,0074383459226417536	310	1,1114846421766307
320	-0,014959326992268188	320	1,1094606434418335
330	-0,00960972598081881	330	1,0942984706548375
340	-0,016403375990190788	340	1,1164877833849012
350	-0,01016738999210905	350	1,1047198965637148
360	-0,013354874767996704	360	1,1218765303494729
370	-0,019098645364788704	370	1,1060756674375023
380	0,0011870862127432516	380	1,1184689781045276
390	-0,0077092713249222421	390	1,1132392572356635
400	-0,0044812769857425416	400	1,1133334825776824
410	-0,023570821733378718	410	1,1041212307920874
420	-0,021971572194203957	420	1,105838324939751
430	0,014965380359884357	430	1,1024857589855095
440	-0,026561302719192412	440	1,1151614927308391
450	-0,013127115085522495	450	1,1172221345714759
460	-0,0067324689704441687	460	1,1067524445550621
470	-0,024573381476171104	470	1,1141608335608662
480	-0,0064313813987536246	480	1,1107091331480836
490	-0,026131156442604889	490	1,110762687806423
500	-0,0042489642752192268	500	1,1046031925523141
510	-0,024632409272314935	510	1,1122945830005415
520	0,003280834359055608	520	1,1071955697116427
530	0,00660166727905506	530	1,1061106437343735
540	-0,011656524528365115	540	1,1039611846631081
550	-0,0037318576809615115	550	1,1039608290190386
560	-0,026000169739442289	560	1,1057550784792607
570	-0,026111214869785758	570	1,1056727519843423
580	-0,011874871458935118	580	1,1296874362978335
590	-0,011926822867498127	590	1,109851485531465
600	-0,020472769119032005	600	1,1167441839438486
610	-0,027613946064818415	610	1,0941385176255929
620	-0,0052775123758905772	620	1,1116134649322473
630	0,0020542261722744509	630	1,1108340631262215
640	-0,02663777628999827	640	1,1144746469393319
650	-0,0075415993105739151	650	1,0956575408122997
660	-0,021343519904354256	660	1,0992859284963241
670	-0,015320875451409503	670	1,1069167990744324
680	-0,01712426942403291	680	1,1220516315828923
690	-0,036168548091135365	690	1,1074252107106519
700	-0,0095756608376147065	700	1,1105285498166748
710	-0,019245744831680813	710	1,1086581686926624
720	-0,024464644305456192	720	1,1090111678731505
730	-0,0053860463515589185	730	1,1074072338343206
740	-0,01913404598153717	740	1,1140612920347297
750	-0,019556393454772513	750	1,1075512483174879
760	-0,0076206456057305878	760	1,1001334393050559
770	-0,010533141581555957	770	1,1113376058404503
780	-0,012381320163480557	780	1,1020169188171418
790	-0,030645807088281057	790	1,114627493160546
800	-0,021384136895186642	800	1,1028793980055482
810	-0,01795738790885304	810	1,1004830570075224
820	-0,020558367277216483	820	1,1139118466410032
830	-0,0062460243587379961	830	1,1159807030081541
840	-0,021813321550599851	840	1,1071578787344985
850	-0,007529667541135052	850	1,1152664637363008
860	-0,0023343790777824135	860	1,0970001055163261
870	-0,02729933966168183	870	1,1080122636651955
880	-0,009969706215873583	880	1,0975311771941281
890	-0,0087505450064228833	890	1,1109577815060159
900	-0,0017748754476338176	900	1,1099238476753111
910	-0,021139273823479406	910	1,0996941661978144
920	-0,028175711218061575	920	1,1188142092407776
930	0,0016367235843568063	930	1,1182249661404786
940	-0,024937083265276324	940	1,117737412099344
950	-0,01519806498401108	950	1,1178531399296467
960	-0,020294232451762095	960	1,1159475057719248
970	-0,013329719874539778	970	1,1086358062357982
980	-0,010654382682948927	980	1,1052864548046668
990	-0,013498615138213713	990	1,101250871516881
1000	-0,00073374835027365914	1000	1,1078334188283863
1010	-0,026595498111290413	1010	1,1047077464545458
1020	-0,015371790821898013	1020	1,1192074726086887
1030	-0,010678214812603797	1030	1,10834150652226
1040	-0,019187272364808924	1040	1,1190217131212246
1050	-0,019875772854323518	1050	1,117480903538427
1060	-0,026019689967877374	1060	1,1074387522366294
1070	-0,015576612832234807	1070	1,1084138747799894
1080	0,0014423609601043985	1080	1,1035554342155562
1090	-0,019241449807368419	1090	1,1089764187499289
1100	-0,00056876829428037956	1100	1,0882752499181672
1110	-0,0081956151868364888	1110	1,1103438675478767
1120	-0,020480739299245414	1120	1,1166973734896382
1130	-0,0014846784179552899	1130	1,0929317078801508
1140	-0,0039277067596986317	1140	1,1162633561669859
1150	-0,0022737587076718828	1150	1,1164057707430917
1160	-0,024775673108758296	1160	1,1051038118897423
1170	-0,017357285871805992	1170	1,1025290809876582
1180	-0,014295762169697268	1180	1,1090009593159727
1190	-0,018066831560584033	1190	1,113569211314964
1200	-0,0057824986134056	1200	1,1063861044565821
1210	-0,0026552281420069231	1210	1,1114341963481693
1220	-0,027635118020856511	1220	1,1206169689372509
1230	2,6363887138222175E-05	1230	1,1104422849888846
1240	-0,016660851213496686	1240	1,1080175432238311
1250	-0,017379024509284587	1250	1,1177031264328012
1260	-0,011159147108856422	1260	1,1058588063263906
1270	-0,0072182771079471646	1270	1,0983607608891397
1280	-0,014468757036000366	1280	1,1108588052087014
