Name	actposB	Name	actposX	Name	actveloX	Name	setposX	Name	setposB	Name	setveloX
SymbolComment	B coordinate.	SymbolComment	X coordinate.	SymbolComment	X coordinate.	SymbolComment	X coordinate.	SymbolComment	B coordinate.	SymbolComment	X coordinate.
Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462
IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0
SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.b	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActVelo.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.b	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetVelo.x
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

400	-0,049076102490506139	400	119,70043998911582	400	0,64780762313663887	400	120	400	0	400	0
410	-0,075070536230814042	410	119,69601042118006	410	-0,93726770460210385	410	120	410	0	410	0
420	-0,058631744125878113	420	119,69809230850899	420	0,0839131144089417	420	120	420	0	420	0
430	-0,059180671480211736	430	119,69912956235268	430	-0,13855820278419997	430	120	430	0	430	0
440	-0,048296803342928948	440	119,70056331213787	440	0,41357142034374922	440	120	440	0	440	0
450	-0,061091280088958158	450	119,69732836647154	450	-0,1809661974789156	450	120	450	0	450	0
460	-0,061630122534910743	460	119,69672727743129	460	-0,043874745639572776	460	120	460	0	460	0
470	-0,064487756060790671	470	119,69927975889594	470	-0,4319952545137028	470	120	470	0	470	0
480	-0,056903345490382395	480	119,69761454270665	480	0,091569468199916432	480	120	480	0	480	0
490	-0,060750280645607377	490	119,69612758539272	490	-0,0775999358266108	490	120	490	0	490	0
500	-0,061576370373761936	500	119,69492020305637	500	-0,35971361086183962	500	120	500	0	500	0
510	-0,062685492515558411	510	119,69594372418358	510	0,013611701464919745	510	120	510	0	510	0
520	-0,074436963335476364	520	119,69495090643235	520	-0,56639116170592718	520	120	520	0	520	0
530	-0,049682037383764248	530	119,70154654612416	530	0,75975305163201978	530	120	530	0	530	0
540	-0,058596661212632371	540	119,69741209887991	540	-0,12335841997707564	540	120	540	0	540	0
550	-0,054841151088380467	550	119,6959362558195	550	-0,14433753505866204	550	120	550	0	550	0
560	-0,064415050472201446	560	119,69312905416591	560	0,29704974545102431	560	120	560	0	560	0
570	-0,059541218948885408	570	119,69457523029114	570	0,4685706001361245	570	120	570	0	570	0
580	-0,064038090252147975	580	119,69784061982766	580	-0,54917650381115113	580	120	580	0	580	0
590	-0,062554419970436342	590	119,69772040553875	590	-0,89825117709266644	590	120	590	0	590	0
600	-0,05745804394440554	600	119,69992653959609	600	0,46481818329022617	600	120	600	0	600	0
610	-0,05107864173415147	610	119,69857060811195	610	-0,19268402645904323	610	120	610	0	610	0
620	-0,065949410840780057	620	119,69803408027696	620	-0,80709212383285855	620	120	620	0	620	0
630	-0,054407717666300877	630	119,70053206790733	630	0,12915210563768054	630	120	630	0	630	0
640	-0,058149829747551465	640	119,69989119523123	640	-0,05969348122965315	640	120	640	0	640	0
650	-0,0570851264899729	650	119,6984483965756	650	-0,058357709367997723	650	120	650	0	650	0
660	-0,059191946541005555	660	119,69819699751933	660	-0,21943890496076141	660	120	660	0	660	0
670	-0,053299503561344545	670	119,69926592895735	670	0,23452071300436686	670	120	670	0	670	0
680	-0,055734429160399536	680	119,69772650005392	680	0,134536310489967	680	120	680	0	680	0
690	-0,066546536148095581	690	119,69758013109373	690	-0,53968276096014345	690	120	690	0	690	0
700	-0,054566469639769549	700	119,69709885464717	700	0,42904941173466216	700	120	700	0	700	0
710	-0,051736141786725795	710	119,69916209998488	710	0,61570093539757231	710	120	710	0	710	0
720	-0,059137745248290872	720	119,69636450653425	720	0,01120335837082842	720	120	720	0	720	0
730	-0,059898216765103429	730	119,69754377386904	730	0,2103176910471028	730	120	730	0	730	0
740	-0,050980693964671413	740	119,69978515374089	740	0,12710270603434692	740	120	740	0	740	0
750	-0,045840954573622757	750	119,7016958633905	750	0,68058827723800241	750	120	750	0	750	0
760	-0,065310153589511047	760	119,69698425656384	760	-0,54911336570851244	760	120	760	0	760	0
770	-0,056999773974783882	770	119,69835212110169	770	0,29853723825540723	770	120	770	0	770	0
780	-0,055966190674220248	780	119,69656288030321	780	0,00073734300509284423	780	120	780	0	780	0
790	-0,053089093518439177	790	119,69637394178045	790	0,32645147040256772	790	120	790	0	790	0
800	-0,060222185380079035	800	119,69911315481531	800	0,48348859571571323	800	120	800	0	800	0
810	-0,069660599691517208	810	119,69559077662784	810	-0,8455046686940727	810	120	810	0	810	0
820	-0,057051886082439315	820	119,69903337908279	820	0,62756850488769023	820	120	820	0	820	0
830	-0,058974652843490821	830	119,69830342558903	830	0,099373451918933445	830	120	830	0	830	0
840	-0,067449485858137592	840	119,69802176570762	840	-0,8017128732986718	840	120	840	0	840	0
850	-0,068516922323728219	850	119,69537227132147	850	-0,50835414885105434	850	120	850	0	850	0
860	-0,056965063087500496	860	119,69580556148931	860	0,019224106573706795	860	120	860	0	860	0
870	-0,062958549183789722	870	119,69620544660883	870	0,049171143526899733	870	120	870	0	870	0
880	-0,057727598382010449	880	119,69877570603411	880	-0,12252153074938905	880	120	880	0	880	0
890	-0,065657026850040254	890	119,70041421326978	890	-0,21903758872484719	890	120	890	0	890	0
900	-0,063297261553461631	900	119,69891594435063	900	-0,67129619183777189	900	120	900	0	900	0
910	-0,057675588988946466	910	119,69705950277914	910	-0,31053105608333753	910	120	910	0	910	0
920	-0,056118252497137908	920	119,69883011785029	920	0,75186424994504808	920	120	920	0	920	0
930	-0,063391499564419	930	119,69913850663133	930	-0,35588754560006747	930	120	930	0	930	0
940	-0,05849605271231588	940	119,70201510241333	940	0,6277885541138204	940	120	940	0	940	0
950	-0,058436779940440338	950	119,69907329259212	950	-0,37743034956247179	950	120	950	0	950	0
960	-0,065651758098529592	960	119,69911602567569	960	-0,19475171870036723	960	120	960	0	960	0
970	-0,058405288350937515	970	119,69709864287279	970	-0,54645190964576007	970	120	970	0	970	0
980	-0,054749516061250468	980	119,69728866761182	980	0,32212088836760472	980	120	980	0	980	0
990	-0,062167793667024726	990	119,69710810945632	990	-0,38989649707744128	990	120	990	0	990	0
1000	-0,061704788757390744	1000	119,69788854049449	1000	-0,14894023221960911	1000	120	1000	0	1000	0
1010	-0,057855908037275319	1010	119,69930571002838	1010	0,043163359221257434	1010	120	1010	0	1010	0
1020	-0,062749144679124819	1020	119,69644280065494	1020	-0,83098919696934981	1020	120	1020	0	1020	0
1030	-0,05746999356208015	1030	119,6975275369459	1030	0,4416652733128994	1030	120	1030	0	1030	0
1040	-0,056105158635807631	1040	119,69633909523003	1040	-0,083631723713022826	1040	120	1040	0	1040	0
1050	-0,051743424574411265	1050	119,69983583770413	1050	0,50141289702874248	1050	120	1050	0	1050	0
1060	-0,047535418956746338	1060	119,70137242607386	1060	0,36420575468507749	1060	120	1060	0	1060	0
1070	-0,058667401970426226	1070	119,69863457911913	1070	-0,31897372568515509	1070	120	1070	0	1070	0
1080	-0,0545230196911535	1080	119,69780006216777	1080	0,06498940767696737	1080	120	1080	0	1080	0
1090	-0,06262492884708834	1090	119,69684523457255	1090	0,038569830528407185	1090	120	1090	0	1090	0
1100	-0,057076732598176867	1100	119,69691766292739	1100	0,061238275030335187	1100	120	1100	0	1100	0
1110	-0,062410316608357566	1110	119,69612058009636	1110	-0,41852540650496184	1110	120	1110	0	1110	0
1120	-0,067337897952408687	1120	119,69737474851473	1120	-0,39682455901308689	1120	120	1120	0	1120	0
1130	-0,060709023973873948	1130	119,69956533606322	1130	-0,26860476157689445	1130	120	1130	0	1130	0
1140	-0,055386891977415323	1140	119,70051499838741	1140	-0,0842468737355207	1140	120	1140	0	1140	0
1150	-0,052741686275336451	1150	119,70003579398806	1150	0,10259262429932733	1150	120	1150	0	1150	0
1160	-0,064570011277490291	1160	119,69613653833952	1160	-0,58807686889902056	1160	120	1160	0	1160	0
1170	-0,061575187236166645	1170	119,69726968687837	1170	-0,097486304943725677	1170	120	1170	0	1170	0
1180	-0,050329760562742909	1180	119,70065164281239	1180	0,13659393253213067	1180	120	1180	0	1180	0
1190	-0,066107242240772968	1190	119,69743871637127	1190	-0,50181100758098074	1190	120	1190	0	1190	0
1200	-0,05712630734649863	1200	119,69727158920698	1200	-0,062871404699926831	1200	120	1200	0	1200	0
1210	-0,053051258341169472	1210	119,69928610408721	1210	0,25486172480705149	1210	120	1210	0	1210	0
1220	-0,053302723961408505	1220	119,7017514324599	1220	-0,054772860756310465	1220	120	1220	0	1220	0
1230	-0,064010438329299452	1230	119,69833809002667	1230	-0,24687731277080952	1230	120	1230	0	1230	0
