Name	YT Scope Project	
File	C:\Users\Administrator\Documents\TcXaeShell\TwinCAT_260713\ScopeLog\2026-08-20_Scope_2000mms_jark.csv	
Starttime of export	134316906375540000	Thursday, August 20, 2026	18:10:37.554
Endtime of export	134316907035540000	Thursday, August 20, 2026	18:11:43.554


Name	a	Name	b	Name	x	Name	x (1)
SymbolComment	A coordinate.	SymbolComment	B coordinate.	SymbolComment	X coordinate.	SymbolComment	X coordinate.
Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462
IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0
SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.a	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.b	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActVelo.x
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

0	-0,022139323008393906	0	-0,083876583309339073	0	119,99876478832968	0	-0,97696227627255039
10	-0,03638636548583702	10	-0,070702089145386365	10	120,00330197673014	10	-0,34035289475618635
20	-0,050803736481650125	20	-0,079867936294679809	20	119,99951623834451	20	0,43123017804747565
30	-0,048899633447566017	30	-0,083111825609353013	30	120,00076742319813	30	0,054095586112553273
40	-0,038754520701480083	40	-0,074133212211498586	40	119,99981078267156	40	0,65276946236106648
50	-0,036104475165636175	50	-0,079771825220574785	50	120,00011071059562	50	-0,84779901328502727
60	-0,04355659075143186	60	-0,0766815535617235	60	120,00265368522017	60	1,1824209740070661
70	-0,033226333326476405	70	-0,08959604203091473	70	119,99631848905871	70	-0,57172204396686255
80	-0,035288120863191837	80	-0,06463090711518335	80	120,00236007271316	80	0,49649790973509467
90	-0,014214410214308791	90	-0,092499105540225682	90	119,99986395163782	90	0,46005916852389939
100	-0,037285731630330492	100	-0,0791212536606317	100	119,99961026658427	100	-0,34454604863692961
110	-0,025087227660614133	110	-0,083500376313114286	110	119,9995968373282	110	0,48804317860429108
120	-0,051167052308942265	120	-0,09257345981860951	120	119,99621245661342	120	-0,14572668768105052
130	-0,037150323052234396	130	-0,079594160519637316	130	120,00209552943244	130	-0,643885416642503
140	-0,035042972309648951	140	-0,078497857003330118	140	120,00083440236666	140	0,46848152275232424
150	-0,040384297124179326	150	-0,081487848701577534	150	120,00000823945643	150	-0,96679189299758272
160	-0,043856079733390209	160	-0,075250560251737056	160	120,00232577764616	160	0,37971341596085306
170	-0,02367214506367242	170	-0,089076362538762	170	119,99657942007202	170	-0,50377501366346233
180	-0,036976468167884448	180	-0,0777771918244287	180	120,00173561770409	180	-0,1026015388387348
190	-0,027519660022789303	190	-0,081898630578712273	190	119,99981987190881	190	0,63385717598716673
200	-0,034669352606113688	200	-0,080695862765728613	200	119,99974210834023	200	-1,0622393849400771
210	-0,031271185345445471	210	-0,082623715099079689	210	119,99973937126084	210	-0,017738251560984464
220	-0,038856003009404748	220	-0,077638762633959232	220	120,00015199319043	220	0,030791987797866904
230	-0,025268136074588606	230	-0,069113845388793269	230	120,00324933397928	230	0,49308628170454932
240	-0,04004824899684193	240	-0,089759800579577	240	119,99852336502612	240	0,35661634842983259
250	-0,047673534079557524	250	-0,088688392505528582	250	119,99934440062781	250	0,59984795253464562
260	-0,030627617854240202	260	-0,08303623737853523	260	120,00036676628172	260	0,11703698723995998
270	-0,043026738393983195	270	-0,080203629397258572	270	119,99815071761417	270	-0,26380735120553533
280	-0,017090090457954538	280	-0,081333572994914421	280	120,00141339098327	280	-0,010069308489254872
290	-0,045589195808493778	290	-0,083421285925456987	290	120,00084803235849	290	0,99250718980004626
300	-0,033565585521124028	300	-0,086234204693297539	300	119,99818266210542	300	-0,63571020761160146
310	-0,017205746476390667	310	-0,074472457987476731	310	120,00244640108592	310	1,3733257337991285
320	-0,037087700194955706	320	-0,0724295873527257	320	120,00304425197817	320	-0,021819397800217466
330	-0,031764261041329817	330	-0,075420173343130142	330	120,00139565272174	330	-0,90768897047500852
340	-0,028879280734889917	340	-0,084650902214445725	340	119,99935908273817	340	-0,38007384796690469
350	-0,045548720121765134	350	-0,0866960018058021	350	119,9976532807933	350	-1,0123188951523252
360	-0,018329238189744166	360	-0,098387538386387891	360	119,99664704439158	360	-1,2802442822295992
370	-0,041049205687610252	370	-0,080369300522837958	370	119,99851722016352	370	-0,14515857107267338
380	-0,036645291941239444	380	-0,0828350675425268	380	120,00197431743327	380	0,23753214736699635
390	-0,021798474044281577	390	-0,092823215179374155	390	119,99859193825101	390	-0,10511875872864865
400	-0,022122097728402294	400	-0,091334335795625568	400	119,99678045875605	400	-0,62773886491022746
410	-0,037138019369395474	410	-0,086012160802814472	410	119,99941905834427	410	0,33159188751551
